application_name,business_process,module_name,module_role,lines_of_code,branch_instruction_count,called_module_count,calling_module_count,file_io_count,database_access_count,macro_call_count,packed_decimal_instruction_count,historical_defect_count,change_count_last_12_months,comment_ratio,unsupported_instruction_count,risk_level
Current Accounts,Overdraft Control,BALM80,Compliance,1632,106,3,5,2,6,7,22,2,2,0.51,1,Low
Fixed Deposits,FD Renewal,RATEB69,DatabaseAccess,3645,29,1,5,3,9,8,6,2,6,0.27,1,Low
Payments,Internal Transfer,ACCTD11,Driver,4114,75,13,14,7,3,15,23,6,17,0.15,0,Medium
Customer Management,Customer Profile Maintenance,CUSTD11,Driver,4294,70,8,15,9,2,22,0,9,15,0.25,3,Medium
Savings Accounts,Interest Posting,POSTV34,Validation,1754,115,5,9,0,3,6,18,0,0,0.25,1,Low
Fixed Deposits,FD Creation,CUSTU58,Utility,1600,82,2,13,7,8,11,22,7,10,0.07,0,Medium
Compliance,Regulatory Reporting,FILEB59,DatabaseAccess,2644,120,18,10,9,10,23,18,33,12,0.03,9,High
Shared Utilities,Error Handling,ERRU05,Utility,6152,73,2,23,1,0,13,31,7,18,0.19,1,Medium
Customer Management,Customer Onboarding,ADDRP57,BatchProcessor,6103,42,7,3,8,0,17,38,8,16,0.11,1,Medium
Customer Management,Customer Onboarding,KYCVU92,Utility,5588,25,2,17,4,0,11,25,2,16,0.11,3,Medium
Customer Management,Customer Onboarding,ADDRU89,Utility,1156,27,4,19,1,0,6,15,1,2,0.59,0,Low
Fixed Deposits,Interest Posting,POSTA34,Audit,627,58,19,20,9,9,22,68,33,10,0.02,5,High
Compliance,Sanction Screening,NAMEA26,Audit,3961,28,2,5,3,3,2,5,1,4,0.56,2,Low
Shared Utilities,Packed Decimal Utility,DECU73,Utility,849,69,4,23,3,1,17,7,6,12,0.14,0,Medium
Credit Cards,Authorization,FRDI68,Interface,7030,212,13,23,4,10,28,26,18,19,0.03,10,High
Payments,Standing Instructions,SCHDC36,Calculation,596,20,13,2,3,6,9,21,11,14,0.3,3,Medium
Shared Utilities,Date Utility,DATEU55,Utility,1975,18,0,23,1,0,1,3,1,2,0.42,0,Low
Savings Accounts,Deposit Posting,LEDGC43,Calculation,2384,47,12,7,6,8,6,64,5,17,0.23,3,Medium
Compliance,Sanction Screening,RULEI02,Interface,5445,22,13,11,2,3,23,33,9,14,0.07,5,Medium
Shared Utilities,Error Handling,MSGA48,Audit,5762,51,11,10,1,4,18,11,7,5,0.28,4,Medium
Fixed Deposits,Interest Posting,INTU85,Utility,5732,42,2,20,10,0,6,13,6,11,0.1,0,Medium
Shared Utilities,Packed Decimal Utility,UTILU72,Utility,296,145,5,14,5,3,11,39,12,15,0.0,2,High
Credit Cards,Limit Management,CRLIMV99,Validation,4417,86,12,6,2,1,6,15,3,1,0.34,0,Low
Reporting,Management MIS,RPTR03,ReportWriter,4509,27,5,8,7,3,4,8,2,4,0.35,1,Low
Customer Management,Customer Profile Maintenance,CUSTV56,Validation,2205,106,0,2,0,1,8,1,1,3,0.38,0,Low
Reporting,Daily Reporting,RPTV94,Validation,6339,73,4,12,4,2,17,8,8,10,0.29,0,Medium
Fixed Deposits,FD Renewal,RENWD52,Driver,7804,210,19,23,10,14,23,57,25,11,0.06,6,High
Credit Cards,Fee Calculation,POSTU57,Utility,4473,90,11,9,1,2,8,44,6,10,0.11,2,Medium
Shared Utilities,Format Utility,MASKU01,Utility,4429,4,0,18,0,1,2,4,3,5,0.31,1,Low
Customer Management,Customer Profile Maintenance,PROFM90,Compliance,2811,88,5,7,2,4,1,14,2,0,0.55,1,Low
Loans,EMI Processing,EMIB38,DatabaseAccess,3430,29,2,5,1,15,18,13,3,6,0.56,1,Low
Reporting,Year End Reporting,TAXU17,Utility,7873,217,5,11,6,14,30,48,27,19,0.01,2,High
Credit Cards,Settlement,ACQM59,Compliance,1565,38,15,7,5,10,1,14,2,3,0.27,1,Low
Fixed Deposits,Interest Posting,POSTA64,Audit,4756,10,1,9,1,2,8,9,3,5,0.29,0,Low
Fixed Deposits,FD Closure,CLOSEC41,Calculation,3714,27,3,9,2,3,8,36,1,0,0.41,1,Low
Reporting,Daily Reporting,DAYA52,Audit,2356,22,12,7,2,8,5,9,8,9,0.1,0,Medium
Reporting,Year End Reporting,GLMD14,Driver,7817,87,12,15,6,8,19,19,7,18,0.25,4,Medium
Compliance,Audit Logging,HISTP71,BatchProcessor,8038,15,4,6,10,0,18,6,1,4,0.5,6,Low
Loans,Interest Calculation,INTR98,ReportWriter,7768,30,8,12,7,1,15,38,11,9,0.21,3,Medium
Shared Utilities,Format Utility,FMTU20,Utility,6941,183,5,25,6,2,28,15,12,30,0.09,2,High
Savings Accounts,Withdrawal Processing,LIMD35,Driver,5602,99,20,4,1,4,16,39,2,15,0.28,2,Medium
Credit Cards,Authorization,CCMC51,Calculation,2877,213,8,16,8,10,9,84,25,15,0.01,10,High
Customer Management,Customer Onboarding,CUSTC73,Calculation,871,28,0,5,5,2,5,67,0,1,0.54,1,Low
Customer Management,KYC Verification,ADDRI86,Interface,4870,53,10,8,7,6,15,4,4,18,0.23,4,Medium
Payments,Standing Instructions,SCHDV07,Validation,6317,192,9,12,11,11,19,45,16,24,0.19,8,High
Shared Utilities,Format Utility,FMTU63,Utility,2190,27,1,21,5,2,6,5,1,2,0.22,0,Low
Reporting,Daily Reporting,FILER12,ReportWriter,5680,24,8,14,14,0,4,13,5,16,0.13,2,Medium
Savings Accounts,Interest Posting,INTC06,Calculation,2003,171,6,24,2,2,13,67,10,15,0.18,2,High
Compliance,AML Monitoring,RISKA14,Audit,2401,5,5,8,0,1,2,14,0,6,0.57,4,Low
Credit Cards,Fraud Detection,AUTHC40,Calculation,747,74,14,1,1,7,8,36,10,8,0.1,2,Medium
Customer Management,KYC Verification,IDCHKC67,Calculation,7529,174,12,16,16,4,10,28,25,32,0.15,4,High
Credit Cards,Authorization,CARDC36,Calculation,2333,209,9,12,10,10,29,75,8,12,0.2,10,High
Credit Cards,Limit Management,CARDC41,Calculation,3209,25,6,7,2,1,6,61,3,0,0.58,1,Low
Reporting,Month End Reporting,SUMR95,ReportWriter,4894,18,4,9,8,4,9,8,6,10,0.15,4,Medium
Customer Management,Customer Profile Maintenance,ADDRB78,DatabaseAccess,4901,19,5,6,3,11,11,7,2,4,0.35,0,Low
Payments,Internal Transfer,XFERC13,Calculation,4282,76,11,3,10,4,9,34,11,7,0.2,0,Medium
Customer Management,Customer Profile Maintenance,HISTM18,Compliance,1931,100,3,11,4,4,7,33,7,9,0.32,3,Medium
Fixed Deposits,Interest Posting,GLMV73,Validation,4554,35,4,10,3,1,2,0,2,1,0.56,0,Low
Current Accounts,Overdraft Control,BALM11,Compliance,1202,140,3,8,1,5,4,12,0,0,0.58,1,Low
Current Accounts,Overdraft Control,LIMP41,BatchProcessor,2187,87,10,14,9,1,19,39,6,17,0.22,2,Medium
Savings Accounts,Withdrawal Processing,LIMU69,Utility,1419,29,0,13,3,1,5,16,3,2,0.25,0,Low
Payments,Standing Instructions,STNDV88,Validation,8855,105,13,22,4,9,8,5,15,14,0.12,10,High
Customer Management,Customer Onboarding,KYCVD88,Driver,575,124,11,4,2,7,24,54,15,33,0.09,10,High
Fixed Deposits,FD Creation,ACCTM02,Compliance,2004,159,3,6,1,6,1,13,1,6,0.31,0,Low
Savings Accounts,Account Opening,SAVV98,Validation,4622,40,5,13,8,0,12,50,10,13,0.25,0,Medium
Fixed Deposits,FD Creation,CUSTI95,Interface,3788,59,16,3,5,9,26,22,34,26,0.15,7,High
Payments,Internal Transfer,ACCTB40,DatabaseAccess,2111,5,15,5,2,15,8,14,2,3,0.49,0,Low
Current Accounts,Charge Calculation,FEEM05,Compliance,6479,142,6,5,4,13,19,63,29,21,0.19,8,High
Current Accounts,Charge Calculation,FEEI34,Interface,1422,100,6,7,3,4,26,44,10,14,0.14,5,High
Current Accounts,Charge Calculation,CALCM77,Compliance,8397,142,18,9,9,4,24,48,24,32,0.03,3,High
Reporting,Month End Reporting,RECONR16,ReportWriter,5649,10,4,10,8,3,6,15,3,2,0.34,0,Low
Shared Utilities,Packed Decimal Utility,NUMU28,Utility,3878,38,0,28,10,0,9,25,6,14,0.13,2,Medium
Loans,Collections,RISKC84,Calculation,7356,7,0,10,5,2,2,51,1,2,0.34,0,Low
Payments,Bill Payment,BILLA48,Audit,6831,132,13,14,2,3,21,68,31,24,0.05,8,High
Customer Management,KYC Verification,KYCC28,Calculation,1332,9,5,4,5,0,7,68,1,0,0.32,1,Low
Payments,Internal Transfer,XFERM29,Compliance,4109,77,15,4,10,6,11,26,5,10,0.28,3,Medium
Compliance,AML Monitoring,TXNM32,Compliance,4444,139,8,16,12,3,26,78,25,22,0.09,7,High
Shared Utilities,Packed Decimal Utility,PACKU33,Utility,2705,121,3,23,3,3,30,48,8,12,0.04,10,High
Savings Accounts,Deposit Posting,ACCTC83,Calculation,368,29,1,9,5,0,1,59,3,5,0.59,0,Low
Reporting,Management MIS,FILEA02,Audit,2484,16,4,3,4,0,6,0,2,3,0.3,1,Low
Credit Cards,Settlement,POSTP40,BatchProcessor,8700,124,19,9,9,11,25,71,28,23,0.19,2,High
Payments,Bill Payment,PAYV93,Validation,3499,107,5,7,5,1,5,3,3,2,0.24,1,Low
Current Accounts,Overdraft Control,AUTHI75,Interface,3510,62,12,12,5,5,16,48,10,6,0.34,3,Medium
Shared Utilities,Format Utility,TEXTU99,Utility,2073,22,0,15,5,1,7,14,0,2,0.41,0,Low
Fixed Deposits,FD Closure,GLMD87,Driver,3349,39,15,2,3,3,10,11,3,1,0.31,1,Low
Reporting,Daily Reporting,SUMR38,ReportWriter,7746,133,12,17,15,11,9,82,26,19,0.05,4,High
Fixed Deposits,FD Creation,CUSTV10,Validation,5555,217,19,23,3,12,19,47,13,17,0.21,10,High
Compliance,Regulatory Reporting,MISM16,Compliance,4852,117,20,18,10,7,15,23,28,20,0.12,8,High
Fixed Deposits,FD Renewal,CUSTC24,Calculation,5143,21,5,8,5,2,7,42,0,2,0.57,0,Low
Compliance,AML Monitoring,TXNV48,Validation,5438,116,5,11,6,3,17,7,11,18,0.11,5,Medium
Payments,External Transfer,EXTV46,Validation,565,128,15,4,4,3,7,0,3,1,0.34,1,Low
Payments,Internal Transfer,XFERC15,Calculation,3612,70,9,6,5,3,15,59,10,9,0.11,0,Medium
Payments,Standing Instructions,STNDD12,Driver,5255,60,11,8,8,3,21,73,21,16,0.01,7,High
Credit Cards,Limit Management,LIMA50,Audit,5044,15,4,5,4,1,3,10,0,0,0.4,1,Low
Savings Accounts,Withdrawal Processing,BALC76,Calculation,2719,156,12,13,6,12,31,56,16,29,0.18,2,High
Savings Accounts,Deposit Posting,BALU08,Utility,841,18,1,10,1,1,1,28,0,3,0.6,0,Low
Current Accounts,Overdraft Control,RISKP16,BatchProcessor,3420,24,0,4,12,2,17,55,0,1,0.32,0,Low
Savings Accounts,Withdrawal Processing,BALR29,ReportWriter,3982,9,4,8,6,3,7,30,2,3,0.37,1,Low
Loans,Loan Closure,CLOSEI31,Interface,7209,81,14,15,3,14,24,32,27,28,0.05,4,High
Fixed Deposits,FD Closure,CLOSEC93,Calculation,4470,85,6,13,4,5,12,41,9,8,0.11,3,Medium
Compliance,Regulatory Reporting,REGR62,ReportWriter,1859,20,3,7,5,0,6,7,3,0,0.34,1,Low
Reporting,Month End Reporting,RPTP73,BatchProcessor,6869,53,12,7,11,2,17,29,2,4,0.21,0,Medium
Compliance,Audit Logging,LOGD14,Driver,5160,207,12,23,10,10,27,60,22,30,0.15,8,High
Shared Utilities,Date Utility,DATEV84,Validation,198,71,4,22,2,3,3,12,0,2,0.3,1,Low
Reporting,Month End Reporting,RECONA63,Audit,4169,58,10,13,6,4,6,11,11,14,0.35,1,Medium
Current Accounts,Balance Maintenance,BALC87,Calculation,2750,37,2,0,2,3,1,55,0,6,0.48,0,Low
Loans,Loan Closure,DOCU10,Utility,2685,95,2,7,13,13,23,60,24,20,0.06,7,High
Savings Accounts,Deposit Posting,ACCTA46,Audit,3427,89,2,4,10,4,11,61,9,12,0.35,0,Medium
Fixed Deposits,Interest Posting,ACCRA35,Audit,4111,21,0,5,5,3,4,15,1,4,0.33,1,Low
Loans,Interest Calculation,CALCD17,Driver,1428,50,19,10,3,3,17,31,3,3,0.26,1,Low
Savings Accounts,Withdrawal Processing,LIMB85,DatabaseAccess,5106,66,10,8,6,9,19,8,11,15,0.28,4,Medium
Reporting,Daily Reporting,RPTR12,ReportWriter,484,195,20,14,14,5,11,48,20,32,0.01,5,High
Credit Cards,Limit Management,BALI25,Interface,5797,46,12,6,4,4,25,35,11,18,0.12,0,Medium
Reporting,Management MIS,RPTR56,ReportWriter,8023,33,1,2,6,2,2,2,0,1,0.21,1,Low
Reporting,Management MIS,FILEC69,Calculation,5544,28,4,1,3,1,6,67,3,0,0.39,0,Low
Payments,Standing Instructions,PAYC87,Calculation,2246,165,11,16,12,9,31,76,16,30,0.19,3,High
Credit Cards,Authorization,FRDC26,Calculation,4140,6,8,4,1,1,7,67,0,0,0.3,1,Low
Loans,Loan Closure,BALI41,Interface,661,46,5,10,1,5,13,29,9,15,0.19,1,Medium
Payments,Bill Payment,AUTHM45,Compliance,8589,155,13,9,14,3,22,18,29,18,0.13,5,High
Savings Accounts,Withdrawal Processing,BALV94,Validation,4599,157,7,18,6,9,10,77,16,19,0.06,2,High
Savings Accounts,Interest Posting,INTB34,DatabaseAccess,5572,46,2,4,9,6,17,41,8,10,0.15,4,Medium
Fixed Deposits,FD Renewal,RATEV39,Validation,335,80,0,1,1,3,2,13,2,1,0.57,1,Low
Fixed Deposits,FD Renewal,FDMC00,Calculation,7671,149,9,3,15,8,24,34,19,13,0.11,5,High
Payments,Bill Payment,PAYD64,Driver,6096,87,15,12,8,6,9,9,2,17,0.11,1,Medium
Customer Management,Customer Onboarding,ADDRP19,BatchProcessor,2009,75,4,15,10,8,17,39,3,14,0.07,1,Medium
Credit Cards,Fee Calculation,CALCV69,Validation,424,121,9,12,4,8,17,29,7,14,0.13,3,Medium
Current Accounts,Overdraft Control,LIMI41,Interface,1034,22,10,8,2,3,13,26,1,2,0.57,0,Low
Savings Accounts,Interest Posting,POSTC26,Calculation,5503,32,3,9,4,1,6,25,0,0,0.49,1,Low
Fixed Deposits,Interest Posting,ACCRC56,Calculation,657,74,10,13,8,4,5,44,4,8,0.24,2,Medium
Payments,External Transfer,PAYC13,Calculation,1528,25,14,0,4,1,8,24,0,2,0.52,0,Low
Savings Accounts,Deposit Posting,POSTA97,Audit,5970,71,4,3,6,1,6,22,11,13,0.12,4,Medium
Compliance,Regulatory Reporting,REGR46,ReportWriter,3488,20,1,9,10,3,1,14,1,1,0.51,8,Low
Fixed Deposits,FD Closure,GLMU00,Utility,3188,33,3,5,2,0,11,24,6,4,0.14,3,Medium
Current Accounts,Charge Calculation,GLMM24,Compliance,2861,80,5,5,3,5,4,18,7,7,0.26,2,Medium
Compliance,Regulatory Reporting,FILEM43,Compliance,2045,143,6,3,10,6,7,7,8,8,0.08,2,Medium
Payments,External Transfer,EXTI45,Interface,8613,171,13,5,14,9,29,65,32,19,0.14,4,High
Savings Accounts,Deposit Posting,LEDGA46,Audit,3083,32,5,9,5,3,4,33,2,2,0.32,1,Low
Compliance,Audit Logging,LOGM09,Compliance,3300,115,12,11,5,7,15,36,11,11,0.23,5,Medium
Shared Utilities,Packed Decimal Utility,NUMM33,Compliance,5766,76,4,12,7,11,4,20,2,9,0.35,0,Medium
Savings Accounts,Account Opening,ACCTU76,Utility,460,14,1,12,4,2,7,14,0,1,0.51,0,Low
Savings Accounts,Interest Posting,ACCRD78,Driver,3405,100,10,2,3,8,16,37,11,10,0.21,4,Medium
Credit Cards,Limit Management,LIMM30,Compliance,7320,151,13,17,11,13,27,36,24,29,0.05,5,High
Compliance,Audit Logging,TRACEA65,Audit,3895,33,2,10,2,3,8,11,0,3,0.19,3,Low
Credit Cards,Settlement,ACQA13,Audit,8703,58,12,10,9,11,31,36,30,32,0.2,8,High
Reporting,Management MIS,RPTR61,ReportWriter,7357,206,18,3,16,12,32,82,34,32,0.02,6,High
Current Accounts,Charge Calculation,POSTC03,Calculation,356,13,2,10,2,3,6,74,0,2,0.57,0,Low
Customer Management,KYC Verification,ADDRB64,DatabaseAccess,2355,28,7,14,4,7,18,11,11,10,0.2,4,Medium
Fixed Deposits,FD Creation,CUSTM44,Compliance,8833,137,9,4,4,8,26,60,21,25,0.16,6,High
Fixed Deposits,FD Creation,CUSTB40,DatabaseAccess,3266,73,5,16,9,12,31,43,24,26,0.02,3,High
Loans,Collections,DUEC62,Calculation,4356,53,8,14,6,3,15,75,9,8,0.22,1,Medium
Credit Cards,Fraud Detection,AUTHC59,Calculation,3461,184,15,8,14,9,10,52,34,14,0.06,9,High
Reporting,Management MIS,DASHR05,ReportWriter,4707,34,0,4,6,2,2,13,0,0,0.45,0,Low
Fixed Deposits,FD Closure,TAXP71,BatchProcessor,403,33,1,6,15,0,17,8,3,0,0.47,0,Low
Fixed Deposits,FD Closure,PAYC01,Calculation,335,195,18,14,13,11,32,70,25,31,0.11,7,High
Customer Management,Customer Profile Maintenance,ADDRM00,Compliance,5816,78,9,13,5,9,10,21,5,9,0.32,0,Medium
Loans,Loan Origination,CREDA65,Audit,4124,26,2,8,5,0,2,9,0,0,0.2,0,Low
Reporting,Management MIS,RPTI38,Interface,3415,81,13,2,2,1,19,25,9,6,0.08,0,Medium
Reporting,Month End Reporting,RPTR90,ReportWriter,6369,38,4,15,10,0,8,19,11,18,0.12,1,Medium
Credit Cards,Settlement,SETLC86,Calculation,4129,219,13,20,6,4,12,63,16,26,0.14,10,High
Fixed Deposits,FD Renewal,CUSTM82,Compliance,6046,31,0,5,0,11,2,4,2,5,0.45,1,Low
Customer Management,Customer Profile Maintenance,ADDRB03,DatabaseAccess,1338,32,8,12,4,12,17,32,3,7,0.29,4,Medium
Payments,Bill Payment,SCHDB12,DatabaseAccess,1186,51,10,11,5,14,18,37,10,14,0.14,3,Medium
Current Accounts,Charge Calculation,FEED08,Driver,6029,56,22,12,12,9,24,62,34,21,0.09,7,High
Compliance,AML Monitoring,SCANM43,Compliance,3860,85,11,3,10,8,15,42,10,8,0.13,3,Medium
Compliance,Audit Logging,ERRM00,Compliance,6275,212,10,22,12,11,10,83,30,27,0.11,7,High
Reporting,Management MIS,RPTR87,ReportWriter,7419,53,3,1,6,5,4,5,6,8,0.09,3,Medium
Compliance,Audit Logging,HISTB90,DatabaseAccess,4832,32,0,9,2,16,8,9,2,2,0.28,1,Low
Current Accounts,Charge Calculation,CHGB31,DatabaseAccess,5697,68,3,8,8,9,16,27,3,18,0.33,0,Medium
Fixed Deposits,FD Closure,GLMM58,Compliance,4516,6,1,9,5,5,8,0,0,1,0.37,1,Low
Payments,External Transfer,PAYP20,BatchProcessor,1279,53,7,11,10,1,14,8,4,11,0.29,0,Medium
Compliance,Sanction Screening,KYCV96,Validation,4333,114,8,12,3,0,7,26,3,7,0.15,4,Medium
Loans,Collections,NOTICB89,DatabaseAccess,2538,171,20,14,14,11,22,62,9,12,0.02,2,High
Credit Cards,Authorization,FRDV53,Validation,435,155,11,14,6,11,31,60,20,13,0.18,3,High
Payments,Bill Payment,PAYA54,Audit,6149,74,13,7,7,1,13,27,3,15,0.36,4,Medium
Loans,Interest Calculation,POSTC14,Calculation,4093,139,5,24,6,3,30,68,11,23,0.18,9,High
Loans,EMI Processing,BALC67,Calculation,8831,18,5,3,2,2,4,55,0,6,0.4,1,Low
Reporting,Month End Reporting,RECONA03,Audit,5437,13,2,0,3,1,3,3,0,2,0.23,1,Low
Current Accounts,Overdraft Control,RISKB74,DatabaseAccess,6313,25,1,1,5,13,11,20,0,4,0.35,0,Low
Current Accounts,Balance Maintenance,ACCTR31,ReportWriter,3733,49,3,14,6,3,7,57,2,9,0.2,2,Medium
Reporting,Daily Reporting,DAYD76,Driver,4952,70,15,4,6,8,18,14,4,15,0.16,4,Medium
Reporting,Month End Reporting,RECONR53,ReportWriter,7788,25,0,3,9,1,3,3,3,4,0.37,1,Low
Current Accounts,Charge Calculation,GLMD33,Driver,2826,60,11,16,2,11,18,60,25,15,0.19,8,High
Credit Cards,Settlement,RECONP52,BatchProcessor,4539,23,11,3,7,1,15,61,3,1,0.56,1,Low
Savings Accounts,Deposit Posting,POSTD13,Driver,2933,204,19,18,16,14,27,9,10,29,0.03,8,High
Credit Cards,Fee Calculation,POSTV76,Validation,2248,97,11,3,5,3,5,18,1,3,0.54,1,Low
Credit Cards,Authorization,AUTHB38,DatabaseAccess,3318,123,12,11,14,8,17,55,18,35,0.16,3,High
Current Accounts,Charge Calculation,POSTV07,Validation,3852,115,9,15,1,0,16,58,2,14,0.24,1,Medium
Fixed Deposits,Interest Posting,POSTU43,Utility,7241,33,0,11,4,0,5,11,0,1,0.52,1,Low
Current Accounts,Balance Maintenance,LEDGR87,ReportWriter,6385,75,2,10,8,1,16,40,6,12,0.1,4,Medium
Savings Accounts,Interest Posting,BALC23,Calculation,3765,72,6,14,9,3,18,63,7,4,0.27,1,Medium
Shared Utilities,Error Handling,ABNDU37,Utility,2473,155,3,21,13,4,23,66,24,31,0.18,9,High
Current Accounts,Charge Calculation,GLMB94,DatabaseAccess,2643,165,18,19,8,12,16,75,30,14,0.22,4,High
Fixed Deposits,FD Closure,TAXA36,Audit,1603,174,13,12,9,6,13,24,14,28,0.11,10,High
Loans,Interest Calculation,POSTV69,Validation,4365,103,5,6,3,3,7,54,0,1,0.24,0,Low
Customer Management,Customer Onboarding,KYCVV50,Validation,2130,52,2,9,5,3,16,20,10,14,0.36,1,Medium
Fixed Deposits,FD Closure,FDCB25,DatabaseAccess,1473,69,11,13,7,15,10,13,10,12,0.15,1,Medium
Fixed Deposits,FD Creation,CUSTI63,Interface,4710,71,12,1,4,3,23,11,2,8,0.1,2,Medium
Savings Accounts,Account Opening,SAVB12,DatabaseAccess,1730,192,5,5,14,15,22,77,9,13,0.08,2,High
Current Accounts,Overdraft Control,AUTHI44,Interface,5562,55,7,19,4,11,16,43,32,19,0.06,7,High
Shared Utilities,Format Utility,MASKU03,Utility,3531,19,2,18,5,0,3,3,1,6,0.49,0,Low
Savings Accounts,Interest Posting,BALP84,BatchProcessor,235,22,1,2,11,3,17,39,0,4,0.46,1,Low
Loans,Loan Closure,CLOSEB02,DatabaseAccess,2254,19,2,3,4,11,14,55,2,3,0.29,0,Low
Loans,Collections,RISKR58,ReportWriter,2985,43,11,7,5,2,8,33,6,8,0.18,1,Medium
Compliance,Regulatory Reporting,RPTM30,Compliance,2454,114,4,5,7,5,7,20,6,15,0.36,7,Medium
Shared Utilities,Format Utility,MASKA85,Audit,224,179,9,14,7,9,27,55,27,18,0.07,8,High
Compliance,AML Monitoring,RULEA21,Audit,4176,88,9,8,9,0,7,3,8,14,0.25,8,Medium
Customer Management,Customer Profile Maintenance,PROFB37,DatabaseAccess,3249,47,2,15,6,7,14,4,7,10,0.32,1,Medium
Customer Management,KYC Verification,AMLB05,DatabaseAccess,2951,36,1,4,1,7,8,8,2,3,0.47,1,Low
Fixed Deposits,FD Creation,FDMB84,DatabaseAccess,2798,81,6,3,5,12,14,38,6,7,0.11,1,Medium
Fixed Deposits,FD Creation,CUSTD63,Driver,4261,188,16,16,10,14,31,81,8,11,0.03,8,High
Fixed Deposits,Interest Posting,POSTP75,BatchProcessor,5025,4,1,6,5,3,13,12,1,2,0.2,1,Low
Current Accounts,Overdraft Control,ODMD09,Driver,6198,65,9,6,4,2,23,56,4,7,0.32,1,Medium
Reporting,Month End Reporting,MOND49,Driver,5485,95,13,4,6,4,24,25,6,14,0.34,0,Medium
Customer Management,Customer Onboarding,CUSTI40,Interface,3064,3,4,3,5,0,14,11,3,5,0.24,1,Low
Fixed Deposits,Interest Posting,GLMV32,Validation,4881,114,13,8,5,6,28,9,21,12,0.07,4,High
Shared Utilities,Format Utility,MASKC70,Calculation,1432,87,11,24,7,8,10,33,3,7,0.27,3,Medium
Current Accounts,Overdraft Control,BALV81,Validation,764,47,8,5,6,4,4,26,4,17,0.25,3,Medium
Compliance,Regulatory Reporting,RECONM04,Compliance,1006,52,2,8,10,4,7,11,4,7,0.19,4,Medium
Payments,Standing Instructions,PAYC94,Calculation,772,196,14,18,3,2,25,47,13,35,0.07,9,High
Savings Accounts,Account Opening,OPENU23,Utility,2030,12,2,6,2,3,3,33,1,4,0.48,1,Low
Reporting,Daily Reporting,FILER11,ReportWriter,4297,141,15,18,13,12,11,62,32,11,0.01,6,High
Loans,Loan Origination,APPRD23,Driver,4921,62,20,6,0,0,9,59,2,1,0.36,1,Low
Savings Accounts,Interest Posting,ACCRD21,Driver,7462,98,17,19,14,9,24,36,11,20,0.16,7,High
Loans,Loan Closure,LNCLSA37,Audit,6077,62,16,16,7,9,13,42,24,33,0.03,2,High
Compliance,Sanction Screening,KYCA14,Audit,664,40,11,10,9,8,7,26,8,10,0.22,3,Medium
Shared Utilities,Format Utility,OUTU99,Utility,3652,31,0,22,2,2,8,12,3,6,0.47,0,Low
Fixed Deposits,FD Closure,GLMR62,ReportWriter,3733,26,2,8,10,2,4,10,0,0,0.32,1,Low
Credit Cards,Limit Management,LIMB13,DatabaseAccess,2671,28,3,4,0,6,10,52,0,1,0.47,0,Low
Credit Cards,Fraud Detection,RISKC65,Calculation,476,31,11,1,10,8,4,46,11,8,0.25,3,Medium
Reporting,Year End Reporting,AUDR65,ReportWriter,4950,3,3,2,4,0,7,2,3,1,0.5,0,Low
Current Accounts,Balance Maintenance,LEDGD74,Driver,4365,47,17,15,8,1,11,39,7,8,0.16,4,Medium
Loans,EMI Processing,BALV92,Validation,5966,79,10,14,3,2,12,50,8,8,0.36,2,Medium
Loans,Loan Origination,LNORM02,Compliance,7588,29,4,6,3,10,4,20,0,1,0.32,0,Low
Shared Utilities,Packed Decimal Utility,PACKR92,ReportWriter,5293,34,2,27,8,3,3,8,1,4,0.24,1,Low
Reporting,Year End Reporting,GLMU98,Utility,3257,24,0,17,2,3,4,0,0,4,0.58,0,Low
Current Accounts,Balance Maintenance,BALB35,DatabaseAccess,1229,10,0,10,3,7,13,50,0,1,0.19,0,Low
Payments,External Transfer,SWFTC90,Calculation,2347,22,5,8,1,2,4,39,0,2,0.4,1,Low
Payments,Internal Transfer,ACCTP53,BatchProcessor,4666,21,10,0,15,2,16,8,3,6,0.47,1,Low
Reporting,Management MIS,SUMA73,Audit,6946,25,11,6,10,4,17,17,2,8,0.18,4,Medium
Loans,Interest Calculation,CALCC00,Calculation,4750,35,0,7,2,0,5,34,0,2,0.29,1,Low
Payments,Standing Instructions,POSTR82,ReportWriter,6095,71,8,7,13,1,11,32,3,16,0.25,2,Medium
Compliance,AML Monitoring,RISKM76,Compliance,6122,106,10,4,9,12,6,33,2,18,0.09,2,Medium
Compliance,Audit Logging,ERRB51,DatabaseAccess,1642,21,1,3,0,16,16,13,1,1,0.33,6,Low
Loans,Collections,RISKC58,Calculation,6099,82,12,8,9,8,16,53,2,8,0.09,4,Medium
Payments,Bill Payment,POSTD46,Driver,7859,80,20,5,9,4,28,69,14,19,0.08,4,High
Reporting,Management MIS,FILER18,ReportWriter,5047,21,3,4,6,0,2,12,3,1,0.5,0,Low
Credit Cards,Fee Calculation,GLMB43,DatabaseAccess,3347,69,7,15,5,15,13,18,8,13,0.34,1,Medium
Reporting,Month End Reporting,MONB10,DatabaseAccess,5295,21,4,8,1,15,10,4,0,5,0.45,1,Low
Current Accounts,Overdraft Control,ODMM20,Compliance,3781,138,8,5,2,12,8,51,11,8,0.12,4,Medium
Customer Management,KYC Verification,DOCA58,Audit,4537,66,10,5,2,5,8,15,6,8,0.36,3,Medium
