application_name,business_process,module_name,module_role,lines_of_code,branch_instruction_count,called_module_count,calling_module_count,file_io_count,database_access_count,macro_call_count,packed_decimal_instruction_count,historical_defect_count,change_count_last_12_months,comment_ratio,unsupported_instruction_count,risk_level
Fixed Deposits,FD Closure,CLOSEI54,Interface,5114,27,8,16,6,7,21,8,4,6,0.25,4,High
Savings Accounts,Interest Posting,POSTP88,BatchProcessor,2249,53,5,8,6,1,5,55,8,5,0.4,0,Low
Fixed Deposits,Interest Posting,ACCRD19,Driver,5599,113,18,19,9,9,17,32,8,10,0.16,1,Medium
Shared Utilities,Format Utility,FMTU73,Utility,1470,27,0,13,2,4,7,11,8,1,0.44,3,Low
Reporting,Management MIS,FILER09,ReportWriter,8618,17,3,12,13,5,10,12,3,11,0.25,0,Low
Loans,Interest Calculation,LNINTM05,Compliance,5090,9,5,3,4,4,9,63,7,11,0.39,2,Low
Loans,Collections,PAYI89,Interface,463,153,8,28,3,10,11,82,24,38,0.15,7,High
Shared Utilities,Packed Decimal Utility,UTILU29,Utility,4746,206,1,9,17,11,11,52,15,15,0.06,2,High
Savings Accounts,Interest Posting,POSTI66,Interface,6033,47,24,24,10,10,10,66,23,8,0.22,7,High
Fixed Deposits,FD Creation,DOCC23,Calculation,1872,49,6,10,4,3,12,60,0,0,0.27,0,Low
Customer Management,Customer Onboarding,ADDRR41,ReportWriter,7190,62,4,10,14,10,7,20,7,20,0.41,3,Medium
Shared Utilities,Packed Decimal Utility,FMTU70,Utility,5011,25,2,17,4,4,7,11,7,8,0.3,3,Medium
Loans,Loan Origination,CREDV57,Validation,3267,141,1,1,6,4,9,74,8,6,0.61,3,Low
Current Accounts,Charge Calculation,GLMU27,Utility,1632,38,1,25,3,2,7,40,2,10,0.27,3,Low
Loans,Interest Calculation,ACCRP96,BatchProcessor,5469,107,11,2,6,0,9,45,9,10,0.4,4,Medium
Reporting,Month End Reporting,GLMB82,DatabaseAccess,8295,71,6,6,13,10,11,6,4,5,0.09,6,Medium
Fixed Deposits,FD Closure,TAXP94,BatchProcessor,6001,23,2,10,2,9,5,44,11,22,0.29,3,Medium
Current Accounts,Charge Calculation,GLMM75,Compliance,836,29,3,4,0,4,1,52,4,6,0.26,1,Medium
Loans,Loan Closure,PAYD28,Driver,1550,117,18,14,7,4,14,45,11,24,0.4,3,Medium
Customer Management,Profile Maintenance,ADDRC80,Calculation,2042,6,6,0,2,2,10,51,4,6,0.35,0,Low
Credit Cards,Fraud Detection,RISKC26,Calculation,4533,31,0,12,4,2,10,51,5,2,0.3,0,Low
Customer Management,Customer Onboarding,ADDRM13,Compliance,6570,114,14,9,10,3,16,44,18,13,0.26,6,Medium
Payments,Bill Payment,PAYP37,BatchProcessor,6016,25,3,15,1,3,11,21,16,23,0.09,2,Medium
Reporting,Daily Reporting,EXTRA58,Audit,4086,17,2,11,7,3,2,10,2,10,0.51,1,Low
Savings Accounts,Deposit Posting,DEPB65,DatabaseAccess,407,6,7,13,5,14,1,72,0,2,0.53,1,Low
Compliance,Sanction Screening,KYCC21,Calculation,6822,37,5,15,9,4,8,55,8,18,0.21,4,Medium
Fixed Deposits,FD Closure,TAXA18,Audit,5417,69,21,5,15,14,21,19,23,16,0.15,6,High
Reporting,Management MIS,MISP63,BatchProcessor,2631,52,8,13,8,5,22,4,10,15,0.38,2,Medium
Loans,Interest Calculation,CALCR20,ReportWriter,4647,177,15,12,14,12,29,76,23,32,0.04,5,High
Reporting,Daily Reporting,FILEC51,Calculation,4207,20,5,0,5,3,12,51,2,2,0.29,1,Low
Fixed Deposits,FD Creation,DOCP79,BatchProcessor,4030,212,19,11,13,12,26,9,31,38,0.2,6,High
Credit Cards,Authorization,CARDB06,DatabaseAccess,2935,15,3,6,7,11,9,11,5,0,0.28,3,Low
Compliance,Audit Logging,HISTV08,Validation,4299,105,3,3,9,8,19,18,8,13,0.09,7,Medium
Current Accounts,Overdraft Control,AUTHU21,Utility,4260,41,5,23,4,9,7,45,18,3,0.24,0,Medium
Customer Management,KYC Verification,NAMEB63,DatabaseAccess,1657,142,6,12,4,14,33,55,30,27,0.07,5,High
Customer Management,Customer Onboarding,CUSTC24,Calculation,3372,151,16,21,14,7,18,46,14,38,0.14,4,High
Payments,Standing Instruction,PAYC42,Calculation,4509,184,24,19,2,2,28,66,19,22,0.06,5,High
Credit Cards,Fee Calculation,FEEB54,DatabaseAccess,8736,5,0,12,1,8,2,11,1,3,0.58,1,Medium
Fixed Deposits,Interest Posting,POSTC34,Calculation,413,21,4,3,4,1,12,29,0,11,0.18,2,Low
Fixed Deposits,FD Creation,FDMD51,Driver,5233,96,14,2,11,0,10,40,16,19,0.34,3,Medium
Fixed Deposits,Interest Posting,INTD15,Driver,1185,41,7,10,3,1,2,23,6,1,0.25,1,Low
Reporting,Daily Reporting,EXTRV17,Validation,3350,114,1,7,11,4,9,13,2,8,0.24,0,Low
Shared Utilities,Date Utility,CALU92,Utility,2202,64,1,7,12,2,21,9,13,18,0.38,0,Medium
Fixed Deposits,FD Closure,PAYV77,Validation,4797,131,2,4,0,4,12,19,0,3,0.34,1,Low
Credit Cards,Limit Management,AUTHI23,Interface,385,213,7,16,2,12,15,39,13,30,0.0,11,High
Savings Accounts,Interest Posting,STMTB10,DatabaseAccess,2424,120,12,12,2,7,18,74,10,19,0.32,0,Medium
Payments,Bill Payment,PAYC00,Calculation,472,59,4,9,1,1,4,31,4,10,0.49,2,Low
Reporting,Management MIS,SUMC75,Calculation,5245,23,2,9,5,0,7,45,5,8,0.27,2,Low
Payments,Internal Transfer,XFERR66,ReportWriter,4835,33,5,11,6,1,7,18,2,7,0.28,3,Low
Shared Utilities,Packed Decimal Utility,PACKC23,Calculation,899,63,7,12,12,1,4,31,9,19,0.22,0,Medium
Savings Accounts,Withdrawal Processing,POSTC54,Calculation,2809,71,11,8,1,6,20,41,14,16,0.09,6,Medium
Credit Cards,Fee Calculation,FEER30,ReportWriter,6317,97,7,15,16,4,19,71,9,14,0.2,4,Medium
Customer Management,Customer Onboarding,DOCV48,Validation,576,128,3,11,4,0,12,12,6,10,0.32,0,Low
Savings Accounts,Withdrawal Processing,POSTV17,Validation,3735,161,14,9,2,11,14,78,34,33,0.07,10,Medium
Loans,Interest Calculation,INTB01,DatabaseAccess,382,208,21,20,3,11,31,67,23,22,0.02,3,High
Fixed Deposits,FD Creation,OPENI85,Interface,3186,178,11,27,2,14,8,67,26,23,0.2,9,High
Savings Accounts,Withdrawal Processing,LIMA59,Audit,7472,185,22,24,12,4,12,17,17,37,0.04,12,High
Current Accounts,Overdraft Control,BALU48,Utility,5890,13,0,14,6,2,1,32,5,5,0.18,1,Low
Compliance,Sanction Screening,NAMEV36,Validation,3952,142,8,15,2,5,7,42,6,23,0.25,10,High
Loans,Loan Closure,LNCLSV69,Validation,6722,134,17,15,15,2,12,67,15,26,0.01,9,High
Payments,Standing Instruction,SCHDB88,DatabaseAccess,6969,34,14,12,8,16,15,31,3,15,0.06,0,Medium
Current Accounts,Balance Maintenance,BALI38,Interface,4279,13,6,9,1,4,6,60,6,1,0.42,0,Low
Shared Utilities,Error Handling,ABNDU79,Utility,3579,43,2,8,11,1,4,45,16,5,0.21,0,Medium
Savings Accounts,Interest Posting,ACCRI25,Interface,403,154,9,27,3,2,31,28,20,33,0.1,2,High
Reporting,Year End Reporting,TAXA11,Audit,7933,166,5,10,5,7,24,58,16,23,0.01,7,High
Savings Accounts,Account Opening,OPENA14,Audit,6301,138,13,4,8,11,14,77,35,34,0.12,10,High
Current Accounts,Overdraft Control,AUTHD09,Driver,4341,22,18,5,0,5,6,22,1,7,0.52,1,Low
Reporting,Year End Reporting,TAXD12,Driver,4778,5,17,8,14,1,11,5,0,10,0.49,0,Low
Loans,Collections,DUED68,Driver,1290,62,21,10,5,10,14,42,16,6,0.31,6,High
Customer Management,Profile Maintenance,CUSTP09,BatchProcessor,777,183,7,13,18,15,31,56,29,22,0.02,9,High
Current Accounts,Overdraft Control,AUTHC57,Calculation,4222,92,10,16,1,1,12,72,18,18,0.31,2,Medium
Payments,Internal Transfer,ACCTC94,Calculation,5901,6,1,14,3,4,12,16,6,0,0.6,3,Low
Compliance,Regulatory Reporting,RECONM51,Compliance,8381,196,8,28,18,5,32,25,27,15,0.09,6,High
Credit Cards,Limit Management,BALA40,Audit,1912,31,8,6,9,3,18,49,3,25,0.26,6,Medium
Reporting,Month End Reporting,RPTR22,ReportWriter,7969,33,0,12,6,5,2,16,5,5,0.61,0,Low
Savings Accounts,Deposit Posting,LEDGI00,Interface,3203,45,13,7,10,6,30,65,29,15,0.24,12,High
Reporting,Management MIS,MISV88,Validation,8726,120,14,13,8,7,4,11,17,17,0.39,4,Medium
Fixed Deposits,FD Closure,TAXC34,Calculation,3180,40,7,7,6,5,2,36,2,8,0.18,1,Low
Credit Cards,Authorization,CARDV35,Validation,3364,104,1,9,2,1,5,48,3,5,0.48,3,Low
Current Accounts,Balance Maintenance,LEDGA37,Audit,2215,94,15,8,2,11,21,35,30,9,0.14,8,High
Current Accounts,Overdraft Control,AUTHM57,Compliance,2731,50,5,18,10,8,21,75,13,18,0.03,5,High
Credit Cards,Authorization,CCMA88,Audit,2927,70,7,19,7,7,18,51,8,8,0.14,6,Medium
Savings Accounts,Account Opening,ACCTA22,Audit,8954,158,22,6,16,9,20,47,23,31,0.08,4,High
Payments,Bill Payment,AUTHB86,DatabaseAccess,1383,11,1,1,6,14,2,13,4,0,0.23,3,Low
Credit Cards,Fee Calculation,FEED88,Driver,3329,45,21,9,9,7,22,84,28,28,0.22,4,High
Customer Management,KYC Verification,NAMEU69,Utility,3418,114,1,10,7,5,4,53,5,3,0.28,6,Medium
Shared Utilities,Format Utility,MASKC56,Calculation,7019,211,14,27,13,13,9,18,33,15,0.23,11,High
Loans,EMI Processing,BALC47,Calculation,8299,62,4,12,16,2,22,68,31,10,0.21,8,High
Payments,Internal Transfer,POSTV87,Validation,1528,93,13,1,5,9,14,33,13,18,0.25,6,Medium
Credit Cards,Fraud Detection,RULEM55,Compliance,5849,45,2,2,0,4,3,32,5,9,0.18,1,Low
Shared Utilities,Error Handling,ABNDU40,Utility,8029,83,3,20,11,10,27,23,21,14,0.17,5,High
Payments,Internal Transfer,ACCTB17,DatabaseAccess,4937,37,2,13,8,9,11,36,14,21,0.29,3,Medium
Loans,Loan Closure,CLOSEC16,Calculation,2184,41,3,12,3,1,5,75,0,4,0.6,2,Low
Reporting,Year End Reporting,AUDP24,BatchProcessor,8020,29,5,8,5,3,9,11,0,9,0.29,3,Medium
Payments,Internal Transfer,ACCTC95,Calculation,3137,49,4,4,6,1,1,17,6,0,0.48,0,Low
Fixed Deposits,FD Closure,TAXV94,Validation,4212,60,5,1,7,4,11,18,4,1,0.2,1,Low
Fixed Deposits,FD Renewal,DATED67,Driver,8711,70,20,7,13,7,25,7,31,24,0.24,2,High
Current Accounts,Overdraft Control,LIMR93,ReportWriter,5456,15,0,0,5,4,9,44,2,0,0.43,2,Low
Loans,Collections,NTCEC35,Calculation,1011,90,5,12,5,1,5,67,14,24,0.25,0,Medium
Compliance,Audit Logging,LOGV22,Validation,8747,13,7,2,3,1,9,9,1,4,0.46,2,Low
Loans,Loan Origination,CREDA12,Audit,7042,54,1,3,3,5,6,63,12,15,0.14,3,Medium
Loans,EMI Processing,INSTB03,DatabaseAccess,5635,58,5,13,6,11,2,67,7,10,0.32,1,Low
Customer Management,KYC Verification,AMLM28,Compliance,3188,50,3,1,7,4,9,18,0,5,0.52,2,Low
Payments,Internal Transfer,AUTHB62,DatabaseAccess,5403,19,2,7,7,13,10,24,8,0,0.57,3,Low
Shared Utilities,Format Utility,TEXTU21,Utility,4508,33,1,16,7,1,5,19,6,8,0.43,2,Low
Shared Utilities,Error Handling,MSGC69,Calculation,5644,58,13,17,1,9,9,49,3,5,0.42,1,Medium
Loans,Collections,PAYB99,DatabaseAccess,6782,31,1,7,2,15,8,60,1,1,0.45,2,Low
Shared Utilities,Error Handling,LOGU58,Utility,4409,43,1,18,12,2,22,34,7,22,0.12,6,Medium
Fixed Deposits,FD Closure,FDCM60,Compliance,2082,24,6,4,5,3,7,15,6,1,0.33,1,Low
Savings Accounts,Deposit Posting,ACCTI72,Interface,2847,24,6,5,2,0,1,24,6,2,0.45,0,Low
Current Accounts,Overdraft Control,AUTHI78,Interface,3332,159,15,3,7,10,32,64,11,14,0.15,6,High
Compliance,Audit Logging,ERRV32,Validation,5182,86,11,18,1,9,5,48,10,17,0.17,5,Medium
Customer Management,KYC Verification,IDCHKC29,Calculation,3694,37,12,19,8,7,15,42,3,18,0.11,4,Medium
Fixed Deposits,FD Renewal,DATEV17,Validation,398,115,3,6,0,0,10,6,4,0,0.47,2,Low
Loans,Interest Calculation,INTB56,DatabaseAccess,3962,46,5,14,1,5,9,69,3,6,0.34,3,Low
Savings Accounts,Interest Posting,STMTV76,Validation,3014,163,5,9,15,11,11,71,14,21,0.17,5,High
Shared Utilities,Date Utility,UTILU35,Utility,2701,53,1,27,0,4,9,13,6,7,0.17,0,Medium
Credit Cards,Fee Calculation,FEEV80,Validation,488,25,6,6,5,5,6,65,3,11,0.58,2,Low
Customer Management,KYC Verification,IDCHKD30,Driver,3285,35,16,3,4,5,7,17,3,6,0.4,3,Low
Loans,Loan Origination,LNORB01,DatabaseAccess,1431,20,6,11,3,9,9,21,6,0,0.5,1,Low
Current Accounts,Charge Calculation,GLMP29,BatchProcessor,8471,105,22,22,11,10,14,52,27,28,0.13,8,High
Shared Utilities,Date Utility,CALM75,Compliance,7470,48,17,5,4,2,24,22,13,11,0.21,4,High
Customer Management,KYC Verification,NAMEP16,BatchProcessor,3801,47,1,9,4,2,1,22,0,11,0.35,0,Low
Shared Utilities,Format Utility,TEXTU44,Utility,6843,113,3,23,1,0,13,30,11,22,0.28,4,Medium
Payments,Internal Transfer,PAYV04,Validation,442,95,6,17,7,6,4,31,15,7,0.22,3,Medium
Current Accounts,Balance Maintenance,CURU62,Utility,5586,117,4,18,8,8,33,24,24,13,0.25,5,High
Fixed Deposits,FD Closure,FDCP24,BatchProcessor,4610,85,6,13,11,8,10,43,7,6,0.33,6,Medium
Credit Cards,Authorization,AUTHR42,ReportWriter,4581,59,1,19,15,8,11,50,11,7,0.19,5,Medium
Savings Accounts,Withdrawal Processing,WDRR63,ReportWriter,5476,147,6,16,12,5,31,85,22,13,0.1,3,High
Credit Cards,Settlement,RECONA21,Audit,4491,46,14,19,11,10,14,79,28,19,0.06,8,Medium
Shared Utilities,Format Utility,FMTU26,Utility,3361,58,0,9,5,2,1,8,8,7,0.17,3,Low
Fixed Deposits,FD Creation,FDMB61,DatabaseAccess,5774,41,10,10,2,10,7,11,18,9,0.21,6,Medium
Shared Utilities,Format Utility,MASKC02,Calculation,4898,40,6,1,1,0,9,49,2,7,0.38,2,Low
Current Accounts,Overdraft Control,LIMI07,Interface,1204,88,17,28,15,14,7,19,8,35,0.27,4,High
Shared Utilities,Error Handling,MSGU04,Utility,4354,201,3,16,10,6,11,84,25,27,0.2,12,High
Compliance,AML Monitoring,RULEB85,DatabaseAccess,6854,37,2,7,2,8,14,1,17,17,0.22,7,Medium
Loans,Loan Origination,LOANV84,Validation,224,189,13,23,8,4,20,83,18,14,0.11,12,High
Current Accounts,Balance Maintenance,LEDGA24,Audit,3611,103,6,18,4,7,15,59,9,21,0.19,0,Medium
Reporting,Management MIS,FILEP72,BatchProcessor,4596,8,7,13,6,5,1,12,8,6,0.39,0,Low
Current Accounts,Balance Maintenance,UPDTU89,Utility,2052,34,1,22,7,2,9,63,2,1,0.21,1,Low
Payments,Bill Payment,SCHDC56,Calculation,7770,19,6,0,6,3,3,66,0,6,0.55,0,Low
Reporting,Year End Reporting,TAXB87,DatabaseAccess,8910,116,1,9,12,10,13,28,5,4,0.19,3,Medium
Reporting,Month End Reporting,SUMR08,ReportWriter,4316,122,22,18,14,13,31,61,24,28,0.09,11,High
Fixed Deposits,FD Closure,TAXB27,DatabaseAccess,1003,75,7,20,5,7,21,48,18,17,0.26,2,High
Loans,Loan Origination,APPRA49,Audit,5512,60,2,10,7,1,1,18,6,3,0.23,2,Low
Credit Cards,Authorization,AUTHDEC,Validation,2525,50,6,8,4,0,21,49,13,5,0.12,1,Medium
Shared Utilities,Date Utility,DATEC30,Calculation,1001,115,9,5,7,2,19,69,13,9,0.24,6,Medium
Customer Management,KYC Verification,IDCHKD27,Driver,5473,51,7,7,6,5,2,22,2,8,0.54,1,Low
Compliance,Audit Logging,TRACEM07,Compliance,953,49,7,6,1,1,11,16,8,9,0.18,2,Low
Loans,Loan Closure,DOCP01,BatchProcessor,8065,148,8,28,4,7,23,53,31,11,0.13,6,High
Current Accounts,Charge Calculation,CALCP41,BatchProcessor,1115,55,0,0,1,3,8,12,8,2,0.26,2,Low
Compliance,Sanction Screening,SANCR26,ReportWriter,4107,42,3,6,8,4,4,9,4,1,0.21,6,Low
Reporting,Management MIS,RPTR19,ReportWriter,8697,55,10,1,12,4,7,0,17,6,0.25,5,Medium
Shared Utilities,Date Utility,DATEC19,Calculation,6708,101,4,19,4,2,3,45,16,6,0.26,4,Medium
Savings Accounts,Account Opening,OPENC69,Calculation,7010,157,10,3,10,11,34,37,29,19,0.03,2,High
Credit Cards,Fraud Detection,RULEM80,Compliance,5766,33,2,9,6,1,4,63,4,6,0.48,1,Low
Loans,Interest Calculation,INTD83,Driver,610,61,16,2,8,8,13,52,7,25,0.14,3,Medium
Loans,Collections,PAYD92,Driver,5598,83,18,8,8,3,21,77,11,12,0.24,3,High
Compliance,Audit Logging,TRACEU84,Utility,720,166,2,23,17,16,26,15,22,8,0.22,10,High
Shared Utilities,Format Utility,UTILU39,Utility,4918,4,6,28,2,1,7,20,7,0,0.39,0,Low
Current Accounts,Balance Maintenance,UPDTV19,Validation,4696,134,4,8,4,5,10,17,18,13,0.28,1,High
Reporting,Management MIS,SUMR98,ReportWriter,3840,53,13,17,15,2,19,4,16,14,0.37,1,Medium
Current Accounts,Balance Maintenance,BALP81,BatchProcessor,747,18,1,14,3,1,12,63,7,1,0.6,1,Low
Customer Management,Profile Maintenance,UPDTD68,Driver,4457,194,11,27,13,2,12,59,13,8,0.07,12,High
Loans,Loan Closure,DOCI69,Interface,525,109,9,7,15,12,32,36,29,21,0.15,7,High
Payments,Bill Payment,BILLA78,Audit,4728,18,6,2,5,0,7,0,6,7,0.36,0,Low
Credit Cards,Settlement,GLMV38,Validation,2822,76,6,6,10,8,22,49,13,14,0.07,2,Medium
Reporting,Year End Reporting,YEARC45,Calculation,7726,5,0,10,15,2,2,35,3,6,0.47,2,Low
Savings Accounts,Withdrawal Processing,LIMC96,Calculation,2381,190,9,3,13,14,16,44,35,35,0.07,11,Medium
Customer Management,KYC Verification,NAMEB02,DatabaseAccess,7801,65,20,26,13,13,18,58,13,10,0.06,8,High
Reporting,Management MIS,MISD91,Driver,4875,65,13,4,10,8,10,4,12,19,0.24,0,Medium
Customer Management,KYC Verification,DOCB74,DatabaseAccess,8136,123,9,17,16,15,26,36,30,16,0.03,2,High
Fixed Deposits,FD Closure,FDCR44,ReportWriter,5357,23,6,19,4,1,16,45,4,24,0.14,3,Low
Customer Management,Customer Onboarding,CUSTD80,Driver,6946,38,7,2,7,0,13,52,8,10,0.07,0,Medium
Credit Cards,Settlement,GLMC35,Calculation,3483,33,13,19,12,8,6,18,12,21,0.17,5,Medium
Payments,External Transfer,SWFTC75,Calculation,4424,8,4,14,1,3,12,43,4,4,0.53,3,Low
Credit Cards,Limit Management,CARDV40,Validation,4674,122,7,17,3,14,15,40,20,32,0.01,11,High
Credit Cards,Fee Calculation,CALCM33,Compliance,3915,69,4,13,2,2,21,38,4,14,0.16,2,Low
Shared Utilities,Packed Decimal Utility,UTILC41,Calculation,1573,37,5,4,7,2,11,42,4,0,0.22,1,Low
Credit Cards,Settlement,SETLM12,Compliance,2372,26,5,5,2,5,8,23,0,8,0.24,3,Low
Credit Cards,Authorization,CCMV58,Validation,5799,70,14,2,12,3,21,56,17,12,0.37,0,Medium
Current Accounts,Charge Calculation,CHGD35,Driver,753,141,21,4,8,2,14,49,27,14,0.1,3,High
Loans,Loan Closure,DOCP81,BatchProcessor,430,47,11,18,10,0,13,54,14,13,0.29,2,Medium
Customer Management,Profile Maintenance,UPDTP73,BatchProcessor,1746,58,3,5,7,2,4,7,1,11,0.6,1,Low
Credit Cards,Fraud Detection,FRDB89,DatabaseAccess,525,194,5,23,16,6,27,74,23,22,0.14,3,High
Compliance,Sanction Screening,NAMER60,ReportWriter,6777,105,11,15,12,3,14,13,8,5,0.29,9,Medium
Compliance,Audit Logging,AUDM58,Compliance,6756,193,8,15,12,15,16,84,26,34,0.21,8,High
Fixed Deposits,Interest Posting,POSTC13,Calculation,1295,43,4,8,3,3,5,22,7,4,0.28,3,Low
Credit Cards,Authorization,AUDWRITE,Audit,1079,6,0,11,2,5,10,68,6,2,0.57,0,Low
Savings Accounts,Account Opening,CUSTA25,Audit,1140,5,3,12,0,4,6,63,4,4,0.28,1,Low
Savings Accounts,Withdrawal Processing,POSTM07,Compliance,6621,35,2,8,2,3,2,25,1,2,0.32,0,Low
Shared Utilities,Format Utility,TEXTU10,Utility,3521,33,5,22,3,4,7,13,4,5,0.6,0,Low
Shared Utilities,Packed Decimal Utility,DECA38,Audit,735,98,22,3,15,7,18,67,19,15,0.03,9,High
Fixed Deposits,FD Renewal,DATEB52,DatabaseAccess,340,95,9,14,10,15,17,46,5,13,0.13,1,Medium
Compliance,Sanction Screening,NAMEV48,Validation,1822,54,1,2,5,4,9,21,3,3,0.48,4,Low
Current Accounts,Overdraft Control,AUTHC42,Calculation,7209,151,12,27,13,10,18,14,28,32,0.1,11,High
Compliance,Regulatory Reporting,MISA31,Audit,323,87,12,19,11,7,13,44,12,19,0.2,4,Medium
Savings Accounts,Deposit Posting,ACCTA35,Audit,8936,95,6,4,18,3,25,42,12,30,0.17,12,High
Shared Utilities,Date Utility,UTILU76,Utility,964,55,4,19,4,8,11,46,7,16,0.13,0,Medium
Credit Cards,Fee Calculation,POSTI64,Interface,848,50,19,27,13,3,22,87,8,21,0.16,4,High
Shared Utilities,Error Handling,LOGU67,Utility,3837,22,0,17,3,6,18,42,15,22,0.18,2,Medium
Savings Accounts,Interest Posting,ACCRM94,Compliance,5139,19,3,4,7,4,12,56,2,2,0.54,0,Low
Credit Cards,Fraud Detection,RULEB66,DatabaseAccess,6583,97,3,18,7,11,15,45,15,20,0.21,5,Medium
Credit Cards,Settlement,RECONV82,Validation,6919,205,4,18,14,14,26,70,15,24,0.01,5,High
Savings Accounts,Deposit Posting,DEPI10,Interface,7872,99,15,13,16,10,25,74,27,25,0.14,12,Medium
Reporting,Year End Reporting,TAXB61,DatabaseAccess,3550,42,6,4,12,15,8,18,3,9,0.32,2,Low
Reporting,Daily Reporting,RPTA78,Audit,3448,21,5,5,3,4,20,11,9,3,0.26,4,Medium
Compliance,Regulatory Reporting,RECOND82,Driver,1641,49,15,5,1,0,10,4,4,10,0.17,8,Low
Savings Accounts,Interest Posting,INTC64,Calculation,5785,97,6,14,11,6,4,29,12,8,0.36,2,Medium
Reporting,Month End Reporting,SUMA18,Audit,6167,69,13,19,10,7,8,23,7,13,0.18,1,Medium
Fixed Deposits,FD Renewal,CUSTM43,Compliance,1331,13,3,12,6,1,1,4,1,9,0.34,3,Medium
Payments,Internal Transfer,AUTHA97,Audit,3044,60,4,3,3,2,4,3,7,5,0.36,0,Low
Current Accounts,Charge Calculation,GLMR16,ReportWriter,8290,130,9,9,10,2,35,84,8,17,0.25,5,High
Current Accounts,Balance Maintenance,CURU23,Utility,2251,56,2,10,2,1,11,37,0,6,0.49,0,Low
Loans,Loan Closure,LNCLSD26,Driver,2427,21,6,10,5,3,3,32,2,6,0.53,3,Low
Fixed Deposits,FD Renewal,CUSTV68,Validation,579,142,18,10,10,12,7,8,28,13,0.05,6,High
Fixed Deposits,FD Creation,DOCR85,ReportWriter,5444,29,6,11,6,0,5,17,5,6,0.16,3,Low
Reporting,Month End Reporting,RPTP31,BatchProcessor,7161,48,4,8,12,7,20,45,13,3,0.18,2,Medium
Compliance,Regulatory Reporting,RECONM05,Compliance,7761,216,8,21,4,7,21,73,22,29,0.09,10,High
Fixed Deposits,FD Renewal,CUSTB83,DatabaseAccess,5153,17,6,2,7,5,3,18,6,4,0.52,2,Medium
Credit Cards,Authorization,LIMITCHK,Validation,2275,34,14,18,3,7,20,25,13,12,0.34,3,Medium
Payments,External Transfer,SWFTD00,Driver,2959,103,22,13,3,8,15,1,17,25,0.28,6,Medium
Current Accounts,Charge Calculation,CALCV52,Validation,1157,52,6,7,4,0,7,30,3,7,0.56,0,Low
Current Accounts,Charge Calculation,POSTC43,Calculation,5998,185,11,3,14,3,9,77,9,37,0.05,5,High
Payments,Standing Instruction,SCHDV27,Validation,2336,134,21,27,7,8,28,70,8,24,0.1,9,High
Fixed Deposits,Interest Posting,FDINTM22,Compliance,3435,41,6,6,5,5,1,8,7,3,0.24,1,Low
Compliance,Sanction Screening,RULEM07,Compliance,5742,4,2,1,5,0,6,23,0,4,0.3,0,Low
Current Accounts,Charge Calculation,GLMV70,Validation,7183,147,10,6,15,16,32,37,34,27,0.09,5,Medium
Fixed Deposits,FD Renewal,CUSTA98,Audit,5088,114,5,16,6,4,15,54,5,4,0.28,0,Medium
Shared Utilities,Date Utility,CHKU80,Utility,3013,76,0,24,8,14,16,79,31,37,0.21,7,High
Current Accounts,Balance Maintenance,ACCTM73,Compliance,6812,35,13,4,12,9,15,32,3,23,0.3,5,Medium
Loans,Interest Calculation,CALCV65,Validation,1462,50,6,19,7,2,4,72,4,16,0.26,1,Medium
Fixed Deposits,FD Renewal,FDMC53,Calculation,4267,31,2,12,1,2,9,61,14,14,0.25,1,High
Loans,EMI Processing,POSTC29,Calculation,5221,128,19,21,6,10,26,69,27,38,0.13,10,High
Payments,Bill Payment,POSTV74,Validation,6042,113,11,10,9,10,34,27,11,14,0.11,7,High
Customer Management,KYC Verification,AMLV70,Validation,329,149,9,20,3,3,29,22,18,27,0.08,4,High
Fixed Deposits,FD Renewal,DATEC60,Calculation,4095,36,3,10,2,4,2,78,5,1,0.29,3,Low
Credit Cards,Limit Management,BALP03,BatchProcessor,3974,190,24,23,2,12,7,63,9,22,0.16,4,High
Fixed Deposits,Interest Posting,ACCRV08,Validation,8699,167,4,5,15,3,33,21,23,16,0.21,10,High
Compliance,Audit Logging,AUDM52,Compliance,714,113,6,29,12,12,9,76,13,27,0.06,12,High
Reporting,Year End Reporting,AUDR49,ReportWriter,4661,119,8,8,15,4,10,52,3,18,0.1,3,High
Reporting,Management MIS,MISI15,Interface,6721,120,21,7,15,12,19,39,10,30,0.13,7,High
Reporting,Year End Reporting,AUDV68,Validation,7157,63,3,4,13,1,22,15,9,25,0.08,4,Medium
Payments,Internal Transfer,POSTM06,Compliance,3914,45,5,11,1,4,7,9,5,10,0.48,1,Low
Loans,Loan Origination,DOCB53,DatabaseAccess,1911,20,3,5,2,13,6,68,7,4,0.49,3,Low
Fixed Deposits,FD Creation,FDMR14,ReportWriter,5741,26,13,2,8,7,17,48,14,10,0.38,0,High
Current Accounts,Overdraft Control,AUTHM06,Compliance,2853,44,1,1,7,0,10,26,0,7,0.26,2,Low
Fixed Deposits,FD Closure,GLMB22,DatabaseAccess,4876,58,12,20,11,12,19,87,31,36,0.1,6,High
Fixed Deposits,Interest Posting,FDINTM65,Compliance,5161,3,2,0,5,5,5,23,7,5,0.18,2,Low
Fixed Deposits,FD Creation,OPENC61,Calculation,869,167,10,12,16,15,24,45,16,18,0.01,7,High
Savings Accounts,Withdrawal Processing,CASHV33,Validation,1114,94,4,14,1,3,10,17,2,6,0.57,2,Low
